appliance,variable,load,unit
bath_tap,codt,147.55,g_m3
bath_tap,ammonia,0.18,g_m3
bath_tap,nitrogen,10,g_m3
bath_tap,nitrite,0.1,g_m3
bath_tap,nitrate,3.04,g_m3
bath_tap,phosphate,6.73,g_m3
bath_tap,phosphorus,15,g_m3
bath_tap,solids,91.39,g_m3
dishwasher,codt,1296,g_m3
dishwasher,ammonia,5.4,g_m3
dishwasher,nitrogen,40,g_m3
dishwasher,nitrate,1,g_m3
dishwasher,nitrite,0.1,g_m3
dishwasher,phosphorus,70,g_m3
dishwasher,phosphate,35,g_m3
dishwasher,solids,52,g_m3
bath,codt,200,g_m3
bath,ammonia,0.88,g_m3
bath,nitrogen,20,g_m3
bath,nitrate,4,g_m3
bath,nitrite,0.2,g_m3
bath,phosphorus,2,g_m3
bath,phosphate,1,g_m3
bath,solids,80,g_m3
kitchen_tap,codt,1300,g_m3
kitchen_tap,ammonia,0.53,g_m3
kitchen_tap,nitrogen,70,g_m3
kitchen_tap,nitrate,10.49,g_m3
kitchen_tap,nitrite,2,g_m3
kitchen_tap,phosphate,20,g_m3
kitchen_tap,phosphorus,70,g_m3
kitchen_tap,solids,426.05,g_m3
shower,codt,598.23,g_m3
shower,ammonia,1.39,g_m3
shower,nitrogen,17,g_m3
shower,nitrate,7.54,g_m3
shower,nitrite,0.1,g_m3
shower,phosphorus,2,g_m3
shower,phosphate,1.5,g_m3
shower,solids,239.04,g_m3
washing_machine,codt,1505.45,g_m3
washing_machine,ammonia,5,g_m3
washing_machine,nitrogen,10,g_m3
washing_machine,nitrate,1.68,g_m3
washing_machine,nitrite,0.2,g_m3
washing_machine,phosphate,100,g_m3
washing_machine,phosphorus,30,g_m3
washing_machine,solids,135.4,g_m3
wc,codt,1558.8,g_m3
wc,ammonia,73.32,g_m3
wc,nitrogen,10,g_m3
wc,nitrate,0.44,g_m3
wc,nitrite,0.05,g_m3
wc,phosphorus,60,g_m3
wc,phosphate,40,g_m3
wc,solids,1378.09,g_m3
