appliance,activity,key,value,unit
bath,bath,frequency_distribution,poisson,-
bath,bath,events_per_day,0.2,pd
bath,bath,duration_distribution,constant,-
bath,bath,duration_mu,400,s
bath,bath,intensity_distribution,constant,-
bath,bath,intensity,0.2,lps
bath,bath,scaling,person,-
bath,bath,presence,household,-
bath_tap,wash,frequency_distribution,poisson,-
bath_tap,wash,events_per_day,1.3,pd
bath_tap,wash,duration_distribution,lognormal,-
bath_tap,wash,duration_mu,40,s
bath_tap,wash,duration_sig,10,s
bath_tap,wash,intensity_distribution,uniform,-
bath_tap,wash,intensity_upper,0.052,lps
bath_tap,wash,intensity_lower,0.032,lps
bath_tap,wash,scaling,person,-
bath_tap,wash,presence,any,-
bath_tap,teeth,frequency_distribution,poisson,-
bath_tap,teeth,events_per_day,2.1,pd
bath_tap,teeth,duration_distribution,lognormal,-
bath_tap,teeth,duration_mu,15,s
bath_tap,teeth,duration_sig,5,s
bath_tap,teeth,intensity_distribution,uniform,-
bath_tap,teeth,intensity_upper,0.052,lps
bath_tap,teeth,intensity_lower,0.032,lps
bath_tap,teeth,scaling,person,-
bath_tap,teeth,presence,household,-
dishwasher,dishwasher,frequency_distribution,poisson,-
dishwasher,dishwasher,events_per_day,0.3,pd
dishwasher,dishwasher,duration_distribution,constant,-
dishwasher,dishwasher,duration_mu,150,s
dishwasher,dishwasher,intensity_distribution,constant,-
dishwasher,dishwasher,intensity,0.167,lps
dishwasher,dishwasher,scaling,household,-
dishwasher,dishwasher,presence,household,-
kitchen_tap,consumption,frequency_distribution,n_binomial,-
kitchen_tap,consumption,frequency_r,3,-
kitchen_tap,consumption,frequency_p,0.192,-
kitchen_tap,consumption,events_per_day,4.7,pd
kitchen_tap,consumption,duration_distribution,lognormal,-
kitchen_tap,consumption,duration_mu,16,s
kitchen_tap,consumption,duration_sig,4,s
kitchen_tap,consumption,intensity_distribution,uniform,-
kitchen_tap,consumption,intensity_upper,0.113,lps
kitchen_tap,consumption,intensity_lower,0.053,lps
kitchen_tap,consumption,scaling,person,-
kitchen_tap,consumption,presence,household,-
kitchen_tap,dishes,frequency_distribution,n_binomial,-
kitchen_tap,dishes,frequency_r,3,-
kitchen_tap,dishes,frequency_p,0.192,-
kitchen_tap,dishes,events_per_day,3.15,pd
kitchen_tap,dishes,duration_distribution,lognormal,-
kitchen_tap,dishes,duration_mu,48,s
kitchen_tap,dishes,duration_sig,12,s
kitchen_tap,dishes,intensity_distribution,uniform,-
kitchen_tap,dishes,intensity_upper,0.155,lps
kitchen_tap,dishes,intensity_lower,0.095,lps
kitchen_tap,dishes,scaling,household,-
kitchen_tap,dishes,presence,household,-
kitchen_tap,handwash,frequency_distribution,n_binomial,-
kitchen_tap,handwash,frequency_r,3,-
kitchen_tap,handwash,frequency_p,0.192,-
kitchen_tap,handwash,events_per_day,3.15,pd
kitchen_tap,handwash,duration_distribution,lognormal,-
kitchen_tap,handwash,duration_mu,15,s
kitchen_tap,handwash,duration_sig,4,s
kitchen_tap,handwash,intensity_distribution,uniform,-
kitchen_tap,handwash,intensity_upper,0.113,lps
kitchen_tap,handwash,intensity_lower,0.053,lps
kitchen_tap,handwash,scaling,person,-
kitchen_tap,handwash,presence,household,-
kitchen_tap,other,frequency_distribution,n_binomial,-
kitchen_tap,other,frequency_r,3,-
kitchen_tap,other,frequency_p,0.192,-
kitchen_tap,other,events_per_day,1.6,pd
kitchen_tap,other,duration_distribution,lognormal,-
kitchen_tap,other,duration_mu,37,s
kitchen_tap,other,duration_sig,10,s
kitchen_tap,other,intensity_distribution,uniform,-
kitchen_tap,other,intensity_upper,0.113,lps
kitchen_tap,other,intensity_lower,0.053,lps
kitchen_tap,other,scaling,household,-
kitchen_tap,other,presence,household,-
shower,shower,frequency_distribution,binomial,-
shower,shower,events_per_day,0.4,pd
shower,shower,duration_distribution,chi2,-
shower,shower,duration_mu,398,s
shower,shower,intensity_distribution,constant,-
shower,shower,intensity,0.132,lps
shower,shower,scaling,person,-
shower,shower,presence,household,-
washing_machine,washing_machine,frequency_distribution,poisson,-
washing_machine,washing_machine,events_per_day,0.3,pd
washing_machine,washing_machine,duration_distribution,constant,-
washing_machine,washing_machine,duration_mu,300,s
washing_machine,washing_machine,intensity_distribution,constant,-
washing_machine,washing_machine,intensity,0.167,lps
washing_machine,washing_machine,scaling,person,-
washing_machine,washing_machine,presence,household,-
wc,flush,frequency_distribution,poisson,-
wc,flush,events_per_day,6,pd
wc,flush,duration_distribution,constant,-
wc,flush,duration_mu,144,s
wc,flush,intensity_distribution,constant,-
wc,flush,intensity,0.042,lps
wc,flush,scaling,person,-
wc,flush,presence,any,-
