node,lon,lat
beckton-land,51.52506,0.01533
beckton-rainfall,51.56733,0.05418
beckton-sewerage,51.5335,0.06283
beckton-wwtw,51.515,0.09497
beddington-land,51.31837,-0.08584
beddington-rainfall,51.34238,-0.13504
beddington-house-sewerage,51.35954,-0.10167
beddington-storm-sewerage,51.37136,-0.08193
beddington-wwtw,51.38113,-0.13979
beverley-brent-incremental,51.47037,-0.21906
crane,51.44844,-0.34111
crossness-land,51.4591,0.04372
crossness-rainfall,51.46002,0.00058
crossness-sewerage,51.47721,0.02757
crossness-wwtw,51.50679,0.14679
deephams-land,51.64112,-0.05708
deephams-rainfall,51.65676,-0.05108
deephams-storm-sewerage,51.60768,-0.08575
deephams-house-sewerage,51.62327,-0.07453
deephams-wwtw,51.62127,-0.0419
hogsmill-land,51.37286,-0.28793
hogsmill-rainfall,51.35771,-0.2642
hogsmill-river,51.39734,-0.27601
hogsmill-storm-sewerage,51.3972,-0.3027
hogsmill-house-sewerage,51.39221,-0.25207
hogsmill-wwtw,51.40119,-0.29068
lea-bridge-incremental,51.567497,-0.052157669
lee,51.76999,0.00607
lee-abstraction,51.6767,-0.03207
lee-deephams-mixer,51.56735,-0.05046
longreach-land,51.42668,0.13847
longreach-rainfall,51.42259,0.10455
longreach-storm-sewerage,51.45541,0.18423
longreach-house-sewerage,51.40532,0.1934
longreach-wwtw,51.46793,0.23883
mogden-land,51.44722,-0.41854
mogden-rainfall,51.49301,-0.39529
mogden-house-sewerage,51.47419,-0.37137
mogden-storm-sewerage,51.44741,-0.3752
mogden-wwtw,51.4597,-0.33971
ocean-waste,51.46384,0.32747
ravensbourne,51.47976,-0.01805
riverside-land,51.54458,0.20212
riverside-rainfall,51.5593,0.22209
riverside-house-sewerage,51.53935,0.1598
riverside-storm-sewerage,51.52429,0.20592
riverside-wwtw,51.51563,0.18209
thames-at-dartford-incremental,51.48136,0.22391
thames-at-teddington,51.4306,-0.32211
thames-central-wwtw-mixer,51.48878,0.18072
thames-estuary-mixer,51.47459,0.24053
thames-lee-ravensbourne-mixer,51.50205,0.012
thames-mogden-mixer,51.46533,-0.32064
thames-hogsmill-junction,51.40955,-0.30912
thames-wandle-mixer,51.46409,-0.19361
upstream-abstractions,51.3597,-0.33847
lee-take,51.64063,-0.01814
wandle,51.419408,-0.18214985
wandle-beddington-mixer,51.41971,-0.18086
hogsmill-junction,51.40483,-0.2987
thames-upstream,51.39831,-0.31071
stort,51.76483,0.01512
beckton,51.54776,0.07518
beddington,51.34946,-0.11313
crossness,51.46303,-0.08306
deephams,51.6341,-0.08051
hogsmill,51.37549,-0.24897
longreach,51.39035,0.13247
mogden,51.49377,-0.33887
riverside,51.56134,0.16452
